============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.12-s121_1
  Generated on:           Jun 07 2026  12:44:32 pm
  Module:                 top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256
  Technology libraries:   typical 
                          physical_cells 
  Operating conditions:   typical 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                       Instance                                             Module                        Cell Count   Cell Area    Net Area     Total Area 
------------------------------------------------------------------------------------------------------------------------------------------------------------
top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256                                                        3432394 12258610.850 3479269.455  15737880.305 
      pipe_gen[1].u_pipe_exp_gen[6].u_exp             bf16_exp_14                                               1173     2847.996    1114.419      3962.415 
      pipe_gen[2].u_pipe_exp_gen[7].u_exp             bf16_exp_23                                               1185     2840.053    1122.202      3962.255 
      pipe_gen[1].u_pipe_exp_gen[5].u_exp             bf16_exp_13                                               1175     2841.293    1115.716      3957.009 
      pipe_gen[0].u_pipe_exp_gen[3].u_exp             bf16_exp_3                                                1170     2844.671    1111.209      3955.880 
      pipe_gen[6].u_pipe_exp_gen[3].u_exp             bf16_exp_51                                               1203     2811.591    1137.668      3949.259 
      pipe_gen[2].u_pipe_exp_gen[4].u_exp             bf16_exp_20                                               1182     2829.195    1119.308      3948.503 
      pipe_gen[2].u_pipe_exp_gen[3].u_exp             bf16_exp_19                                               1168     2833.615    1106.753      3940.368 
      pipe_gen[3].u_pipe_exp_gen[0].u_exp             bf16_exp_24                                               1175     2821.808    1118.244      3940.052 
      pipe_gen[2].u_pipe_exp_gen[2].u_exp             bf16_exp_18                                               1180     2823.954    1114.219      3938.173 
      pipe_gen[6].u_pipe_exp_gen[7].u_exp             bf16_exp_55                                               1176     2814.617    1122.684      3937.301 
      pipe_gen[3].u_pipe_exp_gen[3].u_exp             bf16_exp_27                                               1176     2821.064    1114.153      3935.217 
      pipe_gen[1].u_pipe_exp_gen[0].u_exp             bf16_exp_8                                                1187     2813.993    1120.023      3934.016 
